,RIC,Date_Time,Price,Volume,Market_VWAP,Qualifiers,Ex_Cntrb_ID,TradeCategory,GMT_Offset,Type
47,1606.HK,2016-07-11 01:31:26.642443+00:00,1.99,4000,1.9997,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
48,1606.HK,2016-07-11 01:31:31.255013+00:00,1.99,200000,1.9996,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
49,1606.HK,2016-07-11 01:31:34.694898+00:00,1.99,20000,1.9996,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
50,1606.HK,2016-07-11 01:31:36.183315+00:00,1.99,4000,1.9996,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
51,1606.HK,2016-07-11 01:31:57.590274+00:00,1.99,4000,1.9996,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
52,1606.HK,2016-07-11 01:32:17.638820+00:00,1.99,4000,1.9994,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
53,1606.HK,2016-07-11 01:32:45.491046+00:00,1.99,10000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
54,1606.HK,2016-07-11 01:32:54.202573+00:00,1.99,2000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
55,1606.HK,2016-07-11 01:32:55.814630+00:00,1.99,2000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
56,1606.HK,2016-07-11 01:32:59.175373+00:00,1.99,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
57,1606.HK,2016-07-11 01:33:09.214918+00:00,1.99,2000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
58,1606.HK,2016-07-11 01:33:13.783192+00:00,1.99,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
59,1606.HK,2016-07-11 01:33:19.267522+00:00,1.99,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
60,1606.HK,2016-07-11 01:33:27.738504+00:00,1.99,2000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
61,1606.HK,2016-07-11 01:33:51.278853+00:00,1.99,4000,1.999,[ACT_FLAG1],,[ACT_FLAG1],8,Trade
